Directory Connector with SSO 4.1 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/directory-connector-with-sso-4-1-admin-guide.pdf,Admin Guide,English,Directory Services Connector,directory-services-connector,Firewalls,SonicOS,The SonicWall Directory Connector with SSO Administration Guide provides information about installing and configuring the SonicWall Single Sign‐On Agent and other elements of Directory Connector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSO API Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sso-api-reference-guide.pdf,Reference Guide,English,Directory Services Connector,directory-services-connector,Firewalls,SonicOS,"This SonicWall SSO API Reference Guide specifies the external application program interface (API) for third party devices, software, or scripts to pass user login/logout notifications directly to the SonicWall firewall for SSO API. Its aim is to provide general specifications for the API, guidance for using it, and instructions for writing client‐side software or scripts for it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hosted Email Security 10.0 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/hosted-email-security-10-0-administration-guide.pdf,Admin Guide,English,Email Security,email-security,Email Security,Hosted Email Security,This Administration Guide provides information about configuring and using the different features for all facets of the SonicWall Hosted Email Security product.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 10.0 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-10-0-administration-guide.pdf,Admin Guide,English,Email Security,email-security,Email Security,Email Security (on-premises),This guide provides information about configuring and using the different features for all facets of the SonicWall Email Security product appliances that the user has on site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 9.1 Administration Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-administration-guide.pdf,Admin Guide,English,Email Security,email-security,Email Security,Email Security (on-premises),"This guide provides information about configuring and using the different features for all facets of the SonicWall Email Security product including on‐premise appliances, virtual appliances, and hosted appliances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES 9.2 Managed Service Provider Deployment Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-2-managed-service-provider-deploy.pdf,Deployment Guide,English,Email Security,email-security,Email Security,Email Security (on-premises),This deployment guide provides information and procedures for Managed Service Providers to deploy the Email Security product as a service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 9.0 Guía del usuario,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-0-user-guide-es.pdf,User Guide,Spanish,Email Security,email-security,Email Security,Email Security (on-premises),"Este documento proporciona instrucciones para la configuración básica para los usuarios del producto SonicWall Email Security, incluidos los dispositivos de seguridad de correo electrónico, el dispositivo virtual de seguridad de correo electrónico y el software de seguridad de correo electrónico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 9.1 Guía para el usuario,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide-es.pdf,User Guide,Spanish,Email Security,email-security,Email Security,Email Security (on-premises),"Este documento proporciona instrucciones para la configuración básica para los usuarios del producto SonicWall Email Security, incluidos los dispositivos de seguridad de correo electrónico, el dispositivo virtual de seguridad de correo electrónico y el software de seguridad de correo electrónico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 9.0 Handbuch,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-0-user-guide-de.pdf,User Guide,German,Email Security,email-security,Email Security,Email Security (on-premises),"Dieses Dokument enthält Anweisungen zur Grundkonfiguration für Benutzer des SonicWall Email Security-Produkts, einschließlich der Email Security-Appliances, der Email Security Virtual Appliance und der Email Security-Software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email Security 9.1 Handbuch,https://techdocs.sonicwall.com/wp-content/uploads/pdf/email-security-9-1-user-guide-de.pdf,User Guide,German,Email Security,email-security,Email Security,Email Security (on-premises),"Dieses Dokument enthält Anweisungen zur Grundkonfiguration für Benutzer des SonicWall Email Security-Produkts, einschließlich der Email Security-Appliances, der Email Security Virtual Appliance und der Email Security-Software.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
